company_name,company_name_short,position_name,workYear,education,jobNature,salary,city,financeStage,industryField,positionAdvantage,companyLabelList,district,positionLables,businessZones,firstType,secondType,thirdType
风变科技（深圳）有限公司,风变科技（深圳）有限公司,python工程师（数据开发方向）,1-3年,本科,全职,9k-16k,深圳,A轮,"移动互联网,教育",成长空间大、年轻开放、学习型企业文化,"专项奖金, 带薪年假, 定期体检, 六险一金",南山区,"移动互联网, 教育, 数据挖掘, 数据库开发, ETL",,开发|测试|运维类,数据开发,"数据挖掘, 数据库开发, ETL"
深圳市客路网络科技有限公司,KLOOK 客路旅行,高级Python工程师,3-5年,本科,全职,20k-35k,深圳,D轮及以上,旅游,双休,"零食水果供应, 带薪年假, 绩效奖金, 扁平管理",福田区,"电商, 旅游, 后端",,开发|测试|运维类,后端开发,后端
深圳小步网络科技有限公司,小步网络,Python爬虫工程师,3-5年,本科,全职,15k-30k,深圳,B轮,移动互联网,"大牛云集,发展空间大,弹性上班","股票期权, 定期体检, 下午茶, 年度旅游",宝安区,"Python, 爬虫","西乡, 新安",开发|测试|运维类,后端开发,"Python, 爬虫"
青牛智胜（深圳）科技有限公司,青牛智胜,python开发工程师,3-5年,本科,全职,15k-25k,深圳,不需要融资,人工智能,年终奖金 餐饮补贴 周末双休 五险一金,,南山区,"Linux/Unix, C++, Python, MySQL","大冲, 科技园",开发|测试|运维类,后端开发,"Linux/Unix, C++, Python, MySQL"
深圳市粤盛互联网金融服务有限公司,粤盛金融,python前端开发工程师,5-10年,大专,全职,14k-28k,深圳,未融资,"移动互联网,金融",发展前进好，AI项目，深度学习,,南山区,"Javascript, CSS, HTML5, Web前端",南油,开发|测试|运维类,前端开发,"Javascript, CSS, HTML5, Web前端"
深信服科技股份有限公司,深信服科技集团,python开发工程师,不限,本科,全职,12k-24k,深圳,不需要融资,"信息安全,企业服务","平台大,福利好,薪资高","三餐全包, 大牛超多, 年终奖超多, 大公司，稳定",南山区,"信息安全, Python",,开发|测试|运维类,后端开发,Python
智言科技(深圳)有限公司,智言科技,Python开发工程师,3-5年,本科,全职,10k-20k,深圳,B轮,"数据服务,其他","海归团队,成长空简大,薪酬福利好,扁平管理","年底双薪, 绩效奖金, 通讯津贴, 扁平管理",南山区,"后端, PHP, Python",,开发|测试|运维类,后端开发,"后端, PHP, Python"
深圳市博悦科创科技有限公司,博悦科创,python工程师,1-3年,本科,全职,10k-16k,深圳,不需要融资,移动互联网,"五险一金,双休,年终奖,年度旅游","年底双薪, 定期体检, 绩效奖金, 技能培训",南山区,"Python, 爬虫","大冲, 科技园",开发|测试|运维类,后端开发,"Python, 爬虫"
申朴信息技术(上海)股份有限公司,申朴信息,python开发,3-5年,本科,全职,14k-26k,深圳,未融资,金融,领导nice，餐补、年终奖，交通便利,"节日礼物, 技能培训, 免费班车, 带薪年假",福田区,"金融, Shell, Hadoop",,开发|测试|运维类,后端开发,"Shell, Hadoop"
心灵失重（北京）科技有限公司,糗事百科,Python,3-5年,本科,全职,15k-30k,深圳,A轮,移动互联网,老司机来开车,"媲美名企高薪, 无限量零食, 五险一金, 年度旅游",南山区,,"科技园, 南山医院",开发|测试|运维类,后端开发,Python
